date,forecast1,forecast2,forecast3,forecast_avg,btc_actual,moving_average
2025-05-12,,,,,61415.0645726852,
2025-05-13,,,,,60680.0946987796,
2025-05-14,,,,,58116.9769610403,
2025-05-15,,,,,53991.4577965042,
2025-05-16,,,,,56034.3165914605,
2025-05-17,,,,,55027.4606917867,
2025-05-18,,,,,61710.1375644501,
2025-05-19,,,,,60880.1122032153,
2025-05-20,,,,,60945.8131361053,
2025-05-21,,,,,58719.483169327,
2025-05-22,,,,,59354.5137212797,
2025-05-23,,,,,60609.5669845367,
2025-05-24,,,,,58737.2706270019,
2025-05-25,,,,,57560.0976318307,
2025-05-26,,,,,58894.1041602173,
2025-05-27,,,,,59478.9710471953,
2025-05-28,,,,,58483.9649819015,
2025-05-29,,,,,59493.4524821881,
2025-05-30,,,,,59012.7911526577,
2025-05-31,,,,,61175.192009918,
2025-06-01,,,,,60381.9124606776,
2025-06-02,,,,,64094.3572066269,
2025-06-03,,,,,64178.9906500623,
2025-06-04,,,,,64333.5441834656,
2025-06-05,,,,,62880.6586542698,
2025-06-06,,,,,59504.1326827134,
2025-06-07,,,,,59027.6265870301,
2025-06-08,,,,,59388.1808524122,
2025-06-09,,,,,59119.4747770124,
2025-06-10,,,,,58969.8983660431,
2025-06-11,64952.015625,67791.7265625,65055.015625,65932.9192708333,57325.4876891906,
2025-06-12,64946.515625,67808.9765625,65034.23828125,65929.91015625,58000,
2025-06-13,65511.8984375,68129.2890625,65060.34765625,66233.8450520833,59000,
2025-06-14,65617.9765625,68288.3359375,65139.6953125,66348.6692708,60000,
2025-06-15,65617.9765625,68288.3359375,65139.6953125,66348.6692708,105090,
